Title,Text,[M] elective: ,[M] institution: ,[M] title: ,"[C] Altin, Rukiye (rukiye)","[C] Bradley, Steven","[C] McNeill, Fiona","[C] Minguillón, Julià (Julià Minguillón)","[C] Parker, Miranda","[C] Peltsverger, Svetlana"
Software engineering of components and distributed systems,"<h2>title</h2>Software engineering of components and distributed systems<h2>summary</h2>Ongoing advances in computing and telecommunications are changing the way software is developed. In particular, the relentless increase in the power of personal computers and mobile devices, the lowering of hardware costs, and the appearance of global coverage data networks have made possible an infrastructure that is especially conducive to the use of open and distributed systems. These changes have caused, among other things, that the traditional methods of software design and development (seen in the subjects of Engineering and Software Analysis and design with patterns) are insufficient, since, more or less implicitly, they assume that The application to be developed will be executed in a basically centralized environment. Therefore, traditional methods are unable to naturally manage the complexity of the requirements of this new type of systems. On the other hand, the aspects closest to the analysis and specification of requirements studied in the Requirements Engineering subject do not change with respect to what was seen in previous courses and, therefore, are not repeated here.This subject serves as an introduction to software architectures as a framework for the design and development of distributed applications where the fundamentals, techniques and skills applicable to the modern definition of software architectures are studied and put into practice and knowledge is complemented. acquired in previous courses. The design of the architecture of software systems makes it possible to describe in an abstract and high-level way both the functionality of the system and many other non-functional aspects of it (distribution, reliability, security, adaptability, benefits, etc.). This system description is often defined by an architectural style, a classification of software systems into large families that follow a common structural pattern. Among the most common architectural styles for distributed systems are systems organized into microservices, multiple layers, client-server systems, or peer-to-peer systems.Application design in terms of software microservices must be further refined to accommodate and implement it on a particular distributed software technology. These architectures can be implemented using any programming paradigm (object-oriented, structured...). In our specific case, the reference language will be Java, which allows the development of distributed applications with microservices architectures. These microservices are the ones that will be used to implement and test the architectural elements described in the system architecture.Finally, some good practices in the development and production of software in distributed architectures are collected. Some of the key concepts are worked on when developing and putting into production, such as continuous delivery, DevOps culture, and deployment with containers.<h2>content</h2>The subject is structured into 5 main activities, each one with its specific contents: Activity 1: ""Distributed software architectures: a solution for every problem"" Book ""Fundamentals of Software Architecture"" (Richards & Ford): Chapter 1. Introduction.Book ""Fundamentals of Software Architecture"" (Richards & Ford): Part I Foundations (Chapters 2 - 8)Book ""Fundamentals of Software Architecture"" (Richards & Ford): Part II Architecture Styles (Chapters 9 - 18). Activity 2: ""Hexagonal architectures and microservices design: a well-matched relationship"" Book ""Microservices patterns"" (Richardson): Chapter 1. Section 6: ""The Microservice architecture pattern language"".Book ""Microservices patterns"" (Richardson): Chapter 2: ""Decomposition strategies"".Book ""Microservices patterns"" (Richardson): Chapter 3: ""Interprocess communication in a microservice architecture""Book ""Microservices patterns"" (Richardson): Chapter 5: ""Designing business logic in a microservice architecture"". Activity 3: ""From creation to interconnection of microservices"" Book ""Microservices Patterns"" (Chris Richardson): Chapter 6: ""Developing business logic with event sourcing"". Introduction.Book ""Microservices Patterns"" (Chris Richardson): Chapter 6: ""Developing business logic with event sourcing"".Book ""Microservices patterns"" (Richardson): Chapter 7: ""Implementing queries in a microservice architecture""Book ""Microservices patterns"" (Richardson): Chapter 8: ""External API patterns"".Activity 4: ""Quality of distributed software: inherent, transversal and critical"" Book ""Microservice Patterns"" (Chris Richardson): Chapter 9. ""Testing Microservices: Part 1"". Introduction.Book ""Microservice Patterns"" (Chris Richardson): Chapter 9. ""Testing Microservices: Part 1"".Book ""Microservice Patterns"" (Chris Richardson): Chapter 10. ""Testing Microservices: Part 2"".Book ""Software Architecture Fundamentals"" (Richards & Ford): Part I Fundamentals (Chapters 3 and 6). Activity 5: ""DevOps, CD/CI and agile culture: good practices for distributed software development"" Book Microservice Patterns (Chris Richardson) Chapter 12 Implementation of microservices. Introduction.Book Microservice Patterns (Chris Richardson) Chapter 12 Implementation of microservices.Book ""Continuous Delivery: Reliable Software Releases Through Automated Build, Test, and Deployment (Jez Humble and Dave Farley) Part I: Chapters 1-10.Book ""The DevOps Handbook"" (Patrick Debois, John Willis, Jez Humble & Gene Kim): Chapters 1 - 4. ",5.587,UOC_Spain,Software engineering of components and distributed systems,SE; SDF,SE,SE; PDC,SE,SE; PDC,SE; PDC
Computer networks structure,"<h2>title</h2>Computer networks structure<h2>summary</h2>Today, large networks are a fundamental part of our environment, mainly thanks to the Internet phenomenon and the proliferation of broadband. From email or instant messaging to web services, networks are one more aspect of our lives, always present invisibly, but now unavoidable. For this reason, new specialists are needed every day to support companies that want to get the most out of their networks and use remote interconnection technologies to make the distance that separates them disappear completely. This need has also created a set of professional certifications attesting to their expertise.The course ""Computer Network Structure"" (ERC) focuses on learning the fundamentals of the lowest level communication protocols that allow different types of devices to communicate: Transport, Internet and Network Access. Within this, special prominence is given to the operation of Ethernet local area networks (LAN) and the creation of IP addressing schemes.Its main particularity compared to other degree subjects is that its content is fully aligned with part of the latest version of the official Cisco syllabus for obtaining the CCNA (Cisco Certified Network Associate) professional certification, in Spanish. This is one of the most recognized in the professional world of networks and serves as an entry point for a whole set of specializations in the field (design, security, etc.).Specifically, within the entire agenda of this latest version of the CCNA agenda, this course encompasses practically the entire first part of the course, called ""Introduction to Networks"" (ITN), and a part of the second, called ""Switching , Routing and Wireless Fundamentals"" (SRWE).<h2>content</h2>Due to the characteristics of the subject, the materials that will be used throughout the ERC course are the official ones for the CCNA certification, provided within the official Cisco Systems training program, called ""Networking Academy"". These materials are supplemented by the book ""Computer Networks: A Top-Down Approach,"" which is not part of the curriculum for this certification.The course syllabus within the subject is divided into four thematic blocks, or modules, which include the different chapters of the materials from the parts ""Introduction to Networks"", ""Essential Switching, Routing and Wireless"", and some sections of the book .Module 1. How do networks work?(2 weeks)Introduction to Modern Networks - Introduces the concept of a data network, providing a very general overview of the foundation for exploring the services, technologies, and issues that network professionals face when designing, developing, and maintaining data networking. modern network.Basic configuration of switches and network devices: Serves as an introduction to the Cisco IOS operating system. The command line structure and basic commands are shown.Protocols and network models: The concept of protocol and the importance of standardization processes are presented. For this, the TCP/IP and OSI communication models are explained.The Physical Layer: Explains how the physical layer protocols enable communications on data networks.Module 2. Ethernet networks(4 weeks)The network access layer: the functions of the data link layer and the protocols associated with it are studied.Switching Concepts - Explains how Layer 2 switches transmit information.Ethernet Switching: Describes the characteristics and operation of the Ethernet network in terms of its evolution from contention-based data communication shared media technology to today's high-bandwidth full-duplex technology.VLANs: This part focuses on knowing what a virtual private network (VLAN) is and how it works, as well as its implementation.WLAN Concepts and Configuration - Explains how wireless WLANs enable network connection, as well as configuration, basic security, and troubleshooting.Module 3. The Internet Protocol(3 weeks)The Network Layer – Discusses the role of the network layer and how it divides networks into groups of equipment to manage the flow of data packets within a network. It also examines the way in which communication between networks, routing, is facilitated.Resolution of IP addresses: Protocols such as ARP and ""Network Discovery"" that allow communication on a network are explained.Basic configuration of routers: The initial implementation of parameters in a router (router) and network devices is explained.IPv4 and IPv6 Addressing: The creation and assignment of IPv4 and IPv6 network and subnet addresses are explained in detail through the efficient use of segmentation.ICMP – Explains the use of various tools to verify network connectivity.Module 4. Routing in the Internet and the Transport layer(3 weeks)Routing Concepts – This part is covered in conjunction with the book and focuses on seeing what algorithms and protocols exist to dynamically create routing tables for a router.Static Routing: Configuration of IPv4 and IPv6 static routes.The Transport Layer: The role of the transport layer in encapsulating application data using the network layer is examined. The transport layer also includes error control functions and allows the use of different services on the same computer. ",5.591,UOC_Spain,Computer networks structure,NC; SEC,NC,NC,NC,NC,NC
Embedded systems,"<h2>title</h2>Embedded systems<h2>summary</h2>Embedded systems are increasingly present in our lives. From network devices to industrial control systems, a wide range of devices make up what we know as an Embedded System. In this topic we want to give an overview of these systems. We will start from its definition and delve into its fields of application. The knowledge of the hardware components that constitute these systems will be deepened, we will know their programming models and the particularities that condition the development of applications for embedded systems.The main objective of the course is for the student to learn the basic programming techniques of an embedded system, have a basic knowledge of the hardware architecture that composes them and acquire skills to work with this type of device.<h2>content</h2>Module 1- Introduction to embedded systemsIn this module an introduction to embedded systems is made, the concept and its applications are presented and emphasis is placed on the development process of an embedded system.Module 2 - The hardware of an embedded systemThis module introduces the hardware architecture of an embedded system. The components that compose it are presented and their particularities are described. The objective of the module is that the student has an overview of the main hardware components that make up an embedded system.Module 3 - The software and programming models of an embedded systemThis module presents the most relevant programming models for the development of applications for embedded systems. Unlike what has been learned in other software development subjects, it will be seen that the efficiency and memory reduction used by the program is rewarded over its structuring and/or modularity.Module 4- Operating systems for embedded systemsThis module takes a hands-on approach to introduce the need for abstractions when operating with embedded systems. From the simplest approaches to real-time operating systems, the different ways to manage the resources of an embedded system are presented. Also in this module the peripheral controllers are worked on and their programming is deepened.Module 5- Validation and evaluation tools for embedded systems.This module introduces the tools available for an application developer to carry out their work and verify the developed software. ",5.594,UOC_Spain,Embedded systems,OS,SPD,OS,SE; SPD,OS,SDF; SF
Enterpreneurship,"<h2>title</h2>Enterpreneurship<h2>summary</h2>New business opportunities appear every day to respond to previously non-existent or unsatisfied needs or to improve the existing offer. In addition, organizations increasingly value having an entrepreneurial organizational culture and encourage people who work to act as entrepreneurs in the same organization. And it has been shown that there is a positive relationship between entrepreneurship and the development of a country or region. Among other characteristics, it contributes to economic growth, is a source of innovation, favors job creation and contributes to social cohesion and dynamism.In this sense, the Entrepreneurial Initiative subject aims to promote the entrepreneurial spirit of students from the introduction to the main elements that make up the entrepreneurial process from an applied and practical approach. Firstly, we will introduce ourselves to the entrepreneurial phenomenon, analyzing various typologies and taking into account the gender perspective. Next, we will immerse ourselves in the ideation, validation, modeling and presentation of a viable and sustainable entrepreneurial project (following the sustainable development objectives) developing our capacities for initiative, innovation and teamwork.<h2>content</h2>1. Entrepreneurship and business1.1. Key concepts1.2 Entrepreneurial person and founding teams1.3 Gender and entrepreneurship1.4 Entrepreneurship in other cultures1.5 Learning to undertake1.6 Innovate and undertake. Focus method.2. The inspiring problem2.1 Trends, sectors and technologies2.2 Knowing the field that motivates us2.3 Inspiring problem2.4 Validation. interview problem3. The innovative solution3.1 Ideation. Lateral thinking and creativity.3.2 Minimum viable and prototyped product3.3 Validation. Solution Interview4. The business model4.1 The SCOPE business model4.2 Applications of the business model4.3 Other tools to work on the business model5. Numerical aspects of the entrepreneurial project5.1 Marketing and sales. demand estimate5.2 Traction. Analytics and indicators to undertake5.3 Economic and financial aspects5.4 Economic-financial plan. Agility and feasibility5.5 Financing of the initiative6. Project communication6.1 Purpose of communication6.2 Target audience6.3 Effective Presentations ",5.595,UOC_Spain,Enterpreneurship,17,17,17; SEP,SEP,SEP,SEP; SPD; 17
Information systems integration,"<h2>title</h2>Information systems integration<h2>summary</h2>The contents of the subject ""Information Systems Integration"" (ISI) revolve around the various meanings of the word ""integration"" in relation to organizations of all kinds, and the information systems they use. Thus, to begin with, we will see the type of problems that usually arise in organizations with little structural integration, as well as the proposals that contribute to a better business integration, mainly the definition and implementation of business processes, transversal to the classic functional ones. areasSubsequently, it will be seen how organizations have been developing and implementing new information systems as a fundamental tool for their structural and informational integration, and as a means for their progress in terms of their functional management and strategic direction, in short, for their progress. in terms of quality and competitiveness.In this line, the different integrating roles that companies pursue through the main types of business information systems implemented in recent years, from ERP systems to BI systems, through CRM and SCM systems, through for EAI projects. Finally, some of the concepts related to the implementation of information systems in organizations will be introduced from a very practical point of view.<h2>content</h2>The purpose of the didactic material is to complement the theoretical knowledge of the modules studied with practical activities that allow the student to acquire basic theoretical and practical knowledge. With this, it is intended that, once the subject is finished, the acquired competences allow the student to apply the knowledge and methodologies to other circumstances and needs, both in the educational context and in professional life.The concepts around Business Integration through Information Systems are introduced progressively and gradually throughout the different didactic modules of the subject. From a thematic point of view, the subject is broken down into 4 main didactic modules:1. Motivations and Fundamentals of Business Integration. 2. Vertical Integration through Information Systems. 3. Horizontal Integration through Information Systems. 4. Implementation of Information Systems in the company. ",5.597,UOC_Spain,Information systems integration,17; DM,17,17; 10,SEP,SPD,DM; SPD; 17
Use of information systems in organizations,"<h2>title</h2>Use of information systems in organizations<h2>summary</h2>The subject Use of Information Systems in Organizations (USIO) has a deductive approach; that is, through the study and work of cases, the impact of Information and Communication Technologies (ICT) in organizations is analyzed. This approach allows establishing conclusions and interpretations whose purpose is to understand the efficient use of ICT in management and business decision making.The course is based on solving a case throughout the semester by working in interdisciplinary groups. The students of the Degrees in Computer Engineering (GII) and Business Administration and Management (ADE) will share a work space in which they will develop the activities of the subject. This point is very important and the student should consider it before enrolling. Unlike other subjects where there is detailed material to work on for further assessment, the USIO does not have material that the student must study in the classical sense. A group must be formed and work must be done on the approach of a case with contents of business information systems. The development must be collaborative and although some recommended readings are given, searches on the Internet or other sources must also be carried out, proposing a coherent and argued solution. It is not possible to think that there is ""the solution"" in the style of a mathematical exercise, there are several possible ones and the consultant will evaluate the different alternatives with pre-established criteria (indicated as part of the statement). Group work dynamics are usually complex and in this sense it is very important to form a cohesive group that is willing to work from the beginning.<h2>content</h2>Case title: ""PARROT""Affair:The subject Use of Information Systems in Organizations (USIO) is based on the development of a case study. We will focus on the case of LORO. It is intended to be a first approximation to the resolution of technological innovations to which companies must tend so as not to disappear in the future. The question that management teams in any organization must ask themselves is whether current products and services will continue to be marketed in the future. In the case of PARROT, a drone manufacturer, the help of a consultant is being considered to carry out a detailed study in five phases to take advantage of the disruptive technologies that are appearing in the current digital revolution.The topics to be studied in this case are the following:Emerging technologies according to the Gartner Hype Cycle.Digital Twins technology (Digital Twins) applied to an organization.The application of Conversational Intelligence technology to the manufacturing sector and its ethical concerns.Improving an organization's processes through hyperautomation and process miningMetaverse technology applied to a manufacturing organization.The students will be organized in groups to propose a detailed study to PARROT as a consultant. The case has been structured into five PECs corresponding to the five phases that the study will carry out to allow PARROT to take advantage of disruptive technologies; the first will be developed individually and the rest will be done in groups.Summary of Goals by Milestones:- PEC 1.- Reading, understanding the case. Gartner Hype Cycle analysis to detect emerging technologies to apply.Understand the case and analyze the technologies included in the Gartner Hype Cycle titled ""Hype Cycle for Mobile Robots and Drones, 2022"" published on July 19, 2022 by Dwight Klappich, to consider which 2 emerging technologies (since Innovation Trigger or Peak of Inflated Expectations ) could use Parrot, which could offer them the creation of new business models or economic growth- PEC 2.- Analysis of the application of Digital Twins Technology (Digital Twins) in an organization.Explore how PARROT could take advantage of the Digital Twins technology trend.- PEC 3.- Analysis of the application of Conversational Intelligence Technology in an organization.Analyze what possibilities of applying Conversational Intelligence such as ChatGPT to the manufacturing sector. And discuss what are the ethical concerns of using conversational intelligence like ChatGPT.- PEC 4.- Analysis of the application of Hyperautomation and Process Mining in an organization.Analyze how PARROT could carry out different initiatives to improve operational processes by applying hyperautomation, through Robotic Process Automation technology or Business Process Management Workflow Engines or Process Mining technologiesGet Celonis certified through the 10-hour Process Mining Fundamentals course.- PEC 5.- Analysis of the application of the Metaverse in an organization.Analyze how PARROT could take advantage of the technological trend of the Metaverse. ",5.598,UOC_Spain,Use of information systems in organizations,SPD; 17,SEP; 17,17; 10,SEP,SPD,SPD; SEP
Functional management of IS/IT services,"<h2>title</h2>Functional management of IS/IT services<h2>summary</h2>This subject presents an environment that guarantees the support of IS/IT services and infrastructure in the organization, for the achievement of corporate strategies and objectives. It treats the management of IS/IT services as a set of processes and functions, provided or managed from an IT department. There are references that are useful guides in the management of these services such as ITIL, COBIT, CMMi.<h2>content</h2>Module 1. Introduction to IS/IT services.1. IS/IT services in organizations2. Introduction to the management of the IS/IT departmentModule 2. The IS/IT department1. Governance of the IS/IT department2. Functional area: the IS/IT department3. Particular organizational differences according to type of companyModule 3. Construction of IS/IT services1. Management of the IS/IT service portfolio2. Design and transition of services3. Evolution and improvement of services. change management4. Financial management and costs of servicesModule 4: Provision of IS/IT services1. Customer Service Center2. Service requests3. Shipping management4. Availability and continuity of services5. Demand and capacity managementModule 5: IS/IT Service Operations1. Technological environment2. Incident management3. Configuration management4. Security managementITIL Module: An Introduction1. Context and precedents2. Some key ideas3. Changing orientation of ITIL versions4. The new ITIL 4 model ",5.599,UOC_Spain,Functional management of IS/IT services,17; SEC,SEP; 17,17,SEP,SPD,SPD
Cryptography,"<h2>title</h2>Cryptography<h2>summary</h2>The main objective of the Cryptography course is to train students in the field of modern cryptography. This discipline is increasingly important in the world we live in due to the increasing value of information. On the one hand, cryptographic techniques are necessary to protect the security and privacy of users when using technology and communication networks. In particular, it is important to protect users from mass surveillance activities that can be carried out illegally not only by private companies but also by some government agencies operating outside of legal circuits. On the other hand, beyond the protection of users, companies and any entity that is related to or uses technology needs mechanisms that protect their digital assets, which can sometimes be all the assets of a company. Finally, the development of cryptography also allows the birth of new relationship paradigms between people such as the creation of new virtual currencies, cryptocurrencies, which do not depend on any centralized entity to function.The subject wants to give a practical approach to cryptography, and that is why the subject is structured jointly based on both theoretical and practical content that is complemented by programming activities that allow us to know the real problems that arise in the implementation of cryptographic systems.<h2>content</h2>The contents of the subject are detailed below, grouping the different modules that make it up into thematic blocks:Unit 1: Basic conceptsBasic terminology as well as the historical evolution of cryptography are studied. The most relevant historical cryptosystems are reviewed. The most relevant concepts of modular arithmetic are introduced to have a sufficient mathematical base to understand the cryptosystems and cryptographic protocols that are presented throughout the course. This block includes modules 1 and 2.    Module 1: Introduction to cryptography    Module 2: Mathematical FundamentalsUnit 2: Shared Key CryptographyThe two large families of shared-key cryptosystems are studied: block cipher and flow cipher. For each family, its main properties are characterized and the most relevant cryptosystems are studied. On the other hand, hash functions are defined, focusing on their properties and applications and analyzing in depth one of its most relevant implementations: SHA256. This block includes modules 3 and 4.    Module 3: Symmetric Key Cryptography    Module 4: Hash functionsUnit 3: Public Key CiphersThe characterization of the most important properties of public key cryptosystems is given, emphasizing topics such as key distribution, digital signatures, the combination between public key/symmetric key, as well as relevant aspects of the implementation of public key cryptography. . . Finally, the architecture and protocols associated with public key infrastructures (Public Key Infrastructure, PKI) are studied. This block includes modules 5 and 6.    Module 5: Public Key Cryptography    Module 6: Public Key Infrastructure (PKI)Unit 4: Cryptographic protocolsThe cryptographic primitives described throughout the course are put into practice for the development of cryptographic protocols, such as secret sharing, null-knowledge proofs, unconscious transfer, or secure multipart computing. This block includes module 7.    Module 7: Cryptographic protocols ",5.601,UOC_Spain,Cryptography,NC; SEC,SEC; MSF,SEC; MSF,SEC,MSF; AL,SEC; MSF
Electronic commerce,"<h2>title</h2>Electronic commerce<h2>summary</h2>The Electronic Commerce subject aims to train students in this new discipline born as a result of widely used communication networks, such as the Internet. Despite the wide range of disciplines that are often included in the words ""e-commerce"" (new economics, marketing, law, social behavior, etc.), it is important to note that since we are dealing with a computer engineering subject, its approach is eminently technological. In any case, the fact that its focus is technological does not mean that it includes different disciplines within this aspect. Thus, we can identify three large areas of knowledge that we will focus on in this course.On the one hand we find the databases. In electronic commerce systems, the correct design and management of databases is extremely important since one of the characteristics of electronic commerce is its high degree of automation, more than in other areas. This makes databases play a very important role.Another relevant point in electronic commerce is presented by payment systems. As is well known, one of the reluctances that electronic commerce must overcome is distrust and therefore special emphasis must be placed on security.Finally, there is a part that is often forgotten, perhaps because it affects us little, or rather, it affects us positively, and that is the problem presented by electronic commerce of digital products. The ease of copying together with the precision of these implies that piracy becomes an inherent problem with this support. This problem, which often slows down the sale and distribution of products through electronic commerce, currently generates significant research efforts. We will see different possibilities to end piracy and what problems they present.The subject wants to be taught with a very practical approach, and that is why two compulsory practices have been included in the subject, in addition to the four PEC. In the first practice we will work with the basic web development technologies to launch an electronic commerce. On the other hand, in the second practice we will implement an electronic commerce system through a specialized content management tool (CMS) for electronic commerce: Prestashop.<h2>content</h2>The specific contents of the subject that are considered most important are detailed below for each of the modules:Module 1 - Introduction to electronic commerce (0.5 credits)Basic concepts and terminology of electronic commerce.The EDI standard.Legal aspects of electronic commerce.Module 2 - Security in electronic commerce (1 credit)Basic concepts of cryptography and information security.Specific concepts of public key cryptography.Security in electronic commerce: data, payments and products sold.Module 3 - Information Management (0.5 credits)Structure of a database for electronic commerce.Data analysis of an electronic commerce system.Module 4 - Electronic payment systems (1 credit)card paymentsvirtual wallet systemsPayments via SMSdigital moneyModule 5 - Electronic copyright protection systems (1 credit)Basic concepts of copyright protection techniques for content in digital format.Description of a still image marking system.Description of a digital video marking system. ",5.604,UOC_Spain,Electronic commerce,DM; 10,DM; SEC; 17,17; SEC; MSF,SEC; SEP,SPD,17; SPD; DM
Databases architecture,"<h2>title</h2>Databases architecture<h2>summary</h2>Database Architecture is an optional subject, proposed within the Information Technologies itinerary, belonging to the Degree in Computer Engineering. The subject delves into the knowledge acquired in previous compulsory subjects on databases, such as the Use of Databases and Database Design.The course begins by studying the main drawbacks of the relational model and presents some alternative data models. Next, the main problems related to the implementation of database management systems (DBMS) are analyzed, both in centralized and distributed environments. Finally, fundamental concepts on the design of distributed databases are introduced.The Degree in Computer Engineering has as a transversal competence to acquire the learning of foreign languages ​​(specifically English). That is why some subjects have the learning material in English. This is the case of Database Architecture, given its specific characteristics (specialization subject with a model based on continuous evaluation).<h2>content</h2>The objective of this course, as explained in the first module, is to first introduce the architecture of centralized Database Management Systems (DBMS), to evolve towards distributed systems, identifying the main differences.In the second module, the limitations of the relational model will be presented to introduce the use of objects and semi-structured data, giving special relevance to the Object-Relational and XML extensions. First, the main features of standard SQL will be covered (for example, large objects, user-defined types, inheritance, references, and multivalued attributes). Next, XML standards such as XSchema, XPath, and XQuery will be covered.Distributed databases will be introduced in the third module. First, a classification of distributed databases will be explained. Next, depending on whether the distribution is desired or imposed, it will be explained how to approach the design or the integration. The design is related to the sharding of the databases (for example, horizontal, vertical, or hybrid), while the integration can be implemented as a global view, local view, peer-to-peer, or based on containers or interfaces.Module four addresses aspects of computer security in databases, addressing the three key aspects of this concept: confidentiality, integrity and availability. Aspects such as access control, application access, vulnerabilities, inference mechanisms and auditing will be covered. Emphasis will be placed on different access control systems, as well as role-based access. Aspects related to advanced data management systems will also be worked on and aspects of access control for XML will be dealt with.Within the fifth module, the concept of transaction explained in previous topics will be deepened. Based on this concept, a distinction will be made between ACID and BASE transactions. Multilevel reservations, the multiversion mechanism and time stamping will be explained. The first two mechanisms have been chosen for their wide use in commercial DBMSs, while the last one has been chosen for its wide use in distributed environments.The sixth module introduces concepts related to data recovery, which in turn are related to transactions.Finally, in the seventh module, concepts related to query optimization in distributed environments will be explained. First of all, we will analyze the syntactic optimization to continue working with the physical optimization. The concepts of intra and interparallelism will also be worked on. ",5.607,UOC_Spain,Databases architecture,DM,DM,DM; PDC,DM,DM,DM
Computational thinking,"<h2>title</h2>Computational thinking<h2>summary</h2>This course is designed to prepare us to start in the world of programming, and to know and understand the basic concepts that will allow us to turn a specific problem into a small program that solves it.In order to do so, we will first learn to think in such a way that we can identify what kinds of problems can be solved using a computer running through a sequence of steps designed to solve the proposed problem. That is, through what is known as computational thinking, we will know the abstract concepts that determine the appropriate reasoning to be able to solve problems through programs.Next, we'll review programming languages, which have evolved very rapidly since the popularization of personal computers, and we'll also learn about other important elements of programming context and vocabulary, such as what a computer is and what its function is. basic function. .Finally, we will see how to put it into practice by developing a small program in a guided way, introducing the different concepts that make up what is known as structured programming. To do this, we will use the Processing programming language, which was created with the aim of encouraging creativity and learning to program in a simple and attractive way.<h2>content</h2>The contents of the course are grouped into two blocks:Computational thinking, or how we should think to solve a problem using a computer. In addition, the historical background, to know the context and basic vocabulary of the field of programming and what programming languages ​​are like.Step-by-step guided programming project to create a first program using the Processing language and letting our creativity fly. ",22.4,UOC_Spain,Computational thinking,SDF,SDF,SDF; AL; FPL; SE,SDF,AL,SDF
Mobile Software Development,"<h2>title</h2>Mobile Software Development<h2>content</h2>Technologies and concepts underlying software development for mobile devices (handheld computers). Mobile computing platforms, including architecture, operating system, and programming environment. Software design patterns and structuring for mobile applications. Network-centric mobile software development. Data persistence. Programming for mobile device components such as cameras, recorders, accelerometer, gyroscope and antennas. Location-aware software development. ",CS3714,VirginiaTech_USA,Mobile Software Development,SDF; 18,SPD,SE; NC,SPD,SPD,SPD
Introduction to Human-Computer Interaction,"<h2>title</h2>Introduction to Human-Computer Interaction<h2>content</h2>Survey of human-computer interaction concepts, theory, and practice. Basic components of human-computer interaction. Interdisciplinary underpinnings. Informed and critical evaluation of computer-based technology. User-oriented perspective, rather than system-oriented, with two thrusts: human (cognitive, social) and technological (input/output, interactions styles, devices). Design guidelines, evaluation methods, participatory design, communication between users and system developers. ",CS3724,VirginiaTech_USA,Introduction to Human-Computer Interaction,HCI,HCI,HCI,HCI,HCI,HCI
Cloud Software Development,"<h2>title</h2>Cloud Software Development<h2>content</h2>Fundamentals of cloud software development, including design patterns, application programming interfaces, and underlying middleware technologies. Development of distributed multi-tiered enterprise software applications that run on a server computer and are accessed using a web browser over the Internet on a network-connected computer such as desktop, laptop, or handheld computer (tablet, smartphone, or mobile device. A grade of C or better is required in prerequisite. ",CS3754,VirginiaTech_USA,Cloud Software Development,SDF,SPD,AR; SE,SPD,SPD,SPD; SE
Introduction to Computational Biology and Bioinformatics,<h2>title</h2>Introduction to Computational Biology and Bioinformatics<h2>content</h2>Introduction to computational biology and bioinformatics (CBB) through hands-on learning experiences. Emphasis on problem solving in CBB. Breadth of topics covering structural bioinformatics; modeling and simulation of biological networks; computational sequence analysis; algorithms for reconstructing phylogenies; computational systems biology; and data mining algorithms. ,CS3824,VirginiaTech_USA,Introduction to Computational Biology and Bioinformatics,3,AL; 03,03; 01,AI; 03,AL; 03,03; AL
Theory of Computation,"<h2>title</h2>Theory of Computation<h2>content</h2>Theoretical analysis of the computational process; fundamental concepts such as abstract programs, classes of computational machines and their equivalence, recursive function theory, unsolvable problems, Church's thesis, Kleene's theorem, program equivalence, and generability, acceptability, decidability will be covered. ",CS4124,VirginiaTech_USA,Theory of Computation,FPL,AL; MSF,AL; FPL,AL,MSF,AL; FPL
Systems & Networking Capstone,"<h2>title</h2>Systems & Networking Capstone<h2>content</h2>Advanced topics in computer systems & networking, e.g. distributed and parellel processing, emerging architectures, novel systems management & networking design, fault-tolerance, and robust and secure data management. Team-based approach to solving open-ended computer systems & networking problems. Designing, implementing and documenting advanced computer/networking systems. ",CS4284,VirginiaTech_USA,Systems & Networking Capstone,NC; SEC,,NC; PDC,NC,SF; NC,NC; SF
Quantum Computation and Information Processing,"<h2>title</h2>Quantum Computation and Information Processing<h2>content</h2>Quantum states and quantum phenomena. Quantum communication concepts such as superdense coding, teleportation, and complexity. Classical and quantum circuits and gate sets for computation. Quantum algorithms and comparison to classical algorithms. Quantum computational complexity theory and complexity classes. Quantum information concepts such as density operators, measurements, and quantum channels. Error correction, the stabilizer formalism, and fault-tolerance. The adiabatic theorem and adiabatic quantum computation. Entanglement and entanglement measures. ",CS4134,VirginiaTech_USA,Quantum Computation and Information Processing,FPL,AL; AR,MSF; PDC,07; AL,AR; MSF,AL; AI
Principles of Computer Security,"<h2>title</h2>Principles of Computer Security<h2>content</h2>Survey of computer security problems and fundamental computer security design principles and models for software systems. Cryptographic models and methods. Modern cyber security techniques for robust computer operating systems, software, web applications, large-scale networks and data protection. Privacy models and techniques. Contemporary computer and network security examples. ",CS4264,VirginiaTech_USA,Principles of Computer Security,SEC,SEC,SEC,SEC,SEC,SEC
Computer Organization,"<h2>title</h2>Computer Organization<h2>content</h2>Information representation and transfer; instructions and data access methods; the control unit and microprogramming; memories; input/output and interrupts; secondary storage; the von Neumann SISD organization; high level language machines; the RISC concept; special purpose processors including operating system, file, text, floating point, communication, etc. Multicomputers; multiprocessors; concurrent processing support; Pipeline machines, processor arrays, database machines; the data flow/data directed approach; computer networks. Cross-listed with ECE 4504. ",CS4504,VirginiaTech_USA,Computer Organization,DM,AR,SF; AR,AR,AR,AR
